x,y,species cloglog values
1.0,1.0,1.8941938E-4
2.0,2.0,0.0015963581
3.0,3.0,1.1927717E-4
4.0,4.0,1.4448792E-4
5.0,5.0,3.0211103E-4
6.0,6.0,3.704102E-4
7.0,7.0,7.097095E-5
8.0,8.0,1.909554E-4
9.0,9.0,1.9098124E-4
10.0,10.0,1.6979553E-4
11.0,11.0,2.1503704E-4
12.0,12.0,5.345576E-4
13.0,13.0,2.6317517E-4
14.0,14.0,7.667265E-4
15.0,15.0,3.4447535E-4
16.0,16.0,0.00175812
17.0,17.0,0.0017454956
18.0,18.0,3.3994563E-4
19.0,19.0,4.913888E-4
20.0,20.0,1.6464319E-4
21.0,21.0,3.5083145E-4
22.0,22.0,0.0011139808
23.0,23.0,0.0013257588
24.0,24.0,0.0012276787
25.0,25.0,1.8022658E-4
26.0,26.0,2.7993848E-4
27.0,27.0,1.4810578E-4
28.0,28.0,1.0732689E-4
29.0,29.0,2.0916598E-4
30.0,30.0,2.435902E-4
31.0,31.0,2.815897E-4
32.0,32.0,5.6729245E-4
33.0,33.0,7.9139514E-4
34.0,34.0,4.8935827E-4
35.0,35.0,0.0019677451
36.0,36.0,3.8028962E-4
37.0,37.0,5.638587E-4
38.0,38.0,0.0025029422
39.0,39.0,9.709919E-4
40.0,40.0,1.6646498E-4
41.0,41.0,1.2311139E-4
42.0,42.0,7.568462E-5
43.0,43.0,5.8870908E-5
44.0,44.0,8.7071065E-5
45.0,45.0,2.9191211E-5
46.0,46.0,5.7493642E-5
47.0,47.0,4.051949E-4
48.0,48.0,1.4147547E-5
49.0,49.0,1.789844E-4
50.0,50.0,2.036159E-5
51.0,51.0,3.7258898E-4
52.0,52.0,8.1228965E-5
53.0,53.0,8.4046274E-5
54.0,54.0,1.5859393E-4
55.0,55.0,2.8495106E-5
56.0,56.0,2.8701912E-4
57.0,57.0,1.6388676E-5
58.0,58.0,9.5374597E-4
59.0,59.0,1.18534204E-4
60.0,60.0,3.306228E-5
61.0,61.0,4.6138222E-5
62.0,62.0,9.325588E-5
63.0,63.0,4.7604038E-4
64.0,64.0,7.685047E-5
65.0,65.0,1.08751796E-4
66.0,66.0,1.913447E-4
