Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.05914E-7,0.000010591,0.000014148,1,0,0
1.52435E-7,0.000038104,0.000020362,0.998268398,0,0
1.84649E-7,0.000056569,0.000024664,0.997402597,0,0
2.47519E-7,0.000124507,0.000033062,0.994805195,0,0
3.57668E-7,0.000253249,0.000047775,0.991341991,0.000027588,0
5.7441E-7,0.000547963,0.000076725,0.986147186,0.000234496,0
8.03527E-7,0.001075643,0.000107327,0.979220779,0.000234496,0
1.24631E-6,0.002616608,0.000166465,0.966233766,0.000331053,0
1.71857E-6,0.005127038,0.000229534,0.951515152,0.000386228,0
2.5898E-6,0.010139977,0.000345878,0.931601732,0.000413816,0
6.24375E-6,0.025052963,0.000833673,0.897835498,0.000537961,0
1.03794E-5,0.050588821,0.001385492,0.871861472,0.001172478,0
1.57992E-5,0.100920969,0.002108181,0.838961039,0.001517325,0
2.32238E-5,0.201967537,0.003097363,0.794805195,0.002110461,0
2.93139E-5,0.300767617,0.003908007,0.762770563,0.002400132,0
3.41886E-5,0.40089002,0.004556398,0.735064935,0.003848488,0
3.78822E-5,0.50204446,0.005047409,0.710822511,0.005669278,0
4.08305E-5,0.600516954,0.005439163,0.689177489,0.006469322,0
4.4533E-5,0.702352044,0.005930924,0.668398268,0.007214191,0
4.60288E-5,0.752037845,0.006129517,0.658874459,0.007793533,0
4.77784E-5,0.803494207,0.00636177,0.649350649,0.007876297,0
5.1684E-5,0.902842329,0.00688001,0.632034632,0.008552196,0
5.51643E-5,1.004756661,0.007341589,0.615584416,0.00953156,0
5.78857E-5,1.100352899,0.007702377,0.600865801,0.011586846,0
5.97608E-5,1.200498527,0.007950885,0.586147186,0.01324211,0
6.19098E-5,1.303789356,0.008235626,0.571428571,0.01360075,0
6.41937E-5,1.4046591,0.00853814,0.557575758,0.013918009,0
6.77937E-5,1.50353555,0.009014795,0.544588745,0.014318031,0
7.90684E-5,1.755580121,0.010506138,0.515151515,0.018621717,0
8.9077E-5,2.006548802,0.011828115,0.489177489,0.020911499,0
9.86953E-5,2.251065697,0.013096897,0.466666667,0.021711543,0
1.07386E-4,2.507712763,0.014241921,0.445021645,0.023490951,0
1.17801E-4,2.752585765,0.015612363,0.425974026,0.025904878,0
1.27925E-4,3.000410981,0.01694271,0.408658009,0.028677444,0
1.37955E-4,3.250627934,0.01825889,0.392207792,0.030774112,0
1.4689E-4,3.50825211,0.019429915,0.376623377,0.032705253,0
1.61365E-4,3.757318798,0.021323971,0.362770563,0.034388104,0
1.73173E-4,4.009300892,0.022866391,0.34978355,0.037781395,0
1.84236E-4,4.258647098,0.024309344,0.337662338,0.040885014,0
1.94641E-4,4.504600282,0.025664409,0.326406926,0.042043699,0
2.03669E-4,4.764218574,0.026838803,0.315151515,0.045961156,0
2.12131E-4,5.014325738,0.027938067,0.304761905,0.048540609,0
2.18742E-4,5.251314893,0.028796185,0.295238095,0.049988965,0
2.29442E-4,5.519488718,0.030183255,0.284848485,0.056334143,0
2.40014E-4,5.754622804,0.031551884,0.276190476,0.057354889,0
2.52455E-4,6.025185576,0.033159922,0.266666667,0.058665306,0
2.65962E-4,6.259578743,0.034902734,0.258874459,0.061493048,0
2.79275E-4,6.506440624,0.036617399,0.251082251,0.064196645,0
2.93098E-4,6.766658258,0.038394638,0.243290043,0.06578294,0
3.04939E-4,7.005731115,0.039914359,0.236363636,0.06656919,0
3.1551E-4,7.256158703,0.041269102,0.229437229,0.069410726,0
3.29513E-4,7.516009733,0.043060722,0.222510823,0.077038733,0
3.46936E-4,7.754481487,0.045285266,0.216450216,0.081038954,0
3.68066E-4,8.006572265,0.047976058,0.21038961,0.08188038,0
3.79107E-4,8.268354364,0.049379117,0.204329004,0.086584087,0
4.03299E-4,8.504898892,0.052446133,0.199134199,0.087839329,0
4.29948E-4,8.757550768,0.055813093,0.193939394,0.088211763,0
4.36501E-4,9.017728957,0.056639227,0.188744589,0.088515228,0
4.47783E-4,9.282290946,0.058059832,0.183549784,0.091977488,0
4.69994E-4,9.516189541,0.060850231,0.179220779,0.093674134,0
4.8328E-4,9.753762579,0.06251553,0.174891775,0.094598323,0
5.0113E-4,10.048315782,0.064748161,0.16969697,0.097067424,0
5.11822E-4,10.251519725,0.066082957,0.166233766,0.103812624,0
5.38699E-4,10.515208419,0.069429786,0.161904762,0.106405871,0
5.53891E-4,10.78913597,0.071316258,0.157575758,0.106957625,0
5.66817E-4,11.013320419,0.072918363,0.154112554,0.108185279,0
6.17767E-4,11.256829431,0.07920644,0.150649351,0.108447363,0
6.29315E-4,11.506763212,0.080625721,0.147186147,0.108999117,0
6.48042E-4,11.762832085,0.082922612,0.143722944,0.109261201,0
6.55285E-4,12.023835653,0.083809478,0.14025974,0.110130214,0
6.66868E-4,12.288612413,0.085225932,0.136796537,0.111675127,0
7.01838E-4,12.562537679,0.089489004,0.133333333,0.114902891,0
7.2758E-4,12.778454017,0.092614537,0.130735931,0.11522015,0
7.45971E-4,13.072310283,0.094840866,0.127272727,0.120875635,0
7.81979E-4,13.302274741,0.099184107,0.124675325,0.121372214,0
8.07826E-4,13.541833993,0.102288775,0.122077922,0.121703266,0
8.15554E-4,13.785814218,0.103215037,0.119480519,0.12257228,0
8.55845E-4,14.038846183,0.108028538,0.116883117,0.123730964,0
8.88158E-4,14.302309713,0.1118702,0.114285714,0.124117193,0
9.0059E-4,14.571128858,0.113343827,0.111688312,0.129745089,0
9.17877E-4,14.754077442,0.115388915,0.10995671,0.130517546,0
9.95179E-4,15.049471031,0.124476176,0.107359307,0.132655595,0
1.01186E-3,15.350791081,0.126425074,0.104761905,0.132738358,0
1.02555E-3,15.555297375,0.128020497,0.103030303,0.137469653,0
1.0732E-3,15.76875947,0.133553681,0.101298701,0.13884904,0
1.08706E-3,16.093860792,0.135155882,0.098701299,0.13970426,0
1.16614E-3,16.32694902,0.144243953,0.096969697,0.141028471,0
1.1915E-3,16.564632422,0.147137951,0.095238095,0.141069852,0
1.19515E-3,16.803421264,0.14755349,0.093506494,0.142959612,0
1.25905E-3,17.051443397,0.154797943,0.091774892,0.143263077,0
1.38318E-3,17.322971979,0.168696785,0.09004329,0.153856765,0
1.4744E-3,17.61423822,0.17876444,0.088311688,0.154187817,0
1.48094E-3,17.762332316,0.179482064,0.087445887,0.154367137,0
1.5449E-3,18.067464156,0.186462231,0.085714286,0.158284595,0
1.62631E-3,18.392417858,0.195260769,0.083982684,0.15858806,0
1.64977E-3,18.557395302,0.197779493,0.083116883,0.158643235,0
1.67697E-3,18.891437239,0.200688415,0.081385281,0.160395056,0
1.70453E-3,19.061890304,0.20362566,0.080519481,0.161098543,0
1.7451E-3,19.410377939,0.207929732,0.078787879,0.166491944,0
1.78476E-3,19.58885436,0.212115109,0.077922078,0.166836791,0
1.80519E-3,19.769373519,0.214262022,0.077056277,0.167747186,0
1.8237E-3,20.133041803,0.216202626,0.075324675,0.171540499,0
1.87234E-3,20.320276043,0.221278419,0.074458874,0.176492496,0
1.92184E-3,20.512460401,0.226410506,0.073593074,0.176947694,0
2.06687E-3,20.921263512,0.241251914,0.071861472,0.179706467,0
2.07469E-3,21.128732645,0.242044684,0.070995671,0.179816817,0
2.09738E-3,21.338471114,0.244338802,0.07012987,0.18021684,0
