X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
2.0,2.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
3.0,3.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
4.0,4.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
5.0,5.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
6.0,6.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
7.0,7.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
8.0,8.0,train,9.630647074304142E-7,0.0016308631040475993,1.2863492805104126E-4
9.0,9.0,train,3.4541365178107606E-7,2.3892613462309502E-4,4.613822189802885E-5
10.0,10.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
11.0,11.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
12.0,12.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
13.0,13.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
14.0,14.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
15.0,15.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
16.0,16.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
17.0,17.0,train,3.5766785754374635E-7,2.5324883349732625E-4,4.777502390584942E-5
18.0,18.0,train,7.14874296113264E-5,1.5861084340037215,0.009503621953118047
19.0,19.0,train,7.068111547392113E-5,1.5680833778289633,0.009396934848603267
20.0,20.0,train,3.742030497388535E-5,0.4893948139350734,0.004986016840200502
21.0,21.0,train,5.45207703708125E-5,0.9859120521212101,0.007256261010220033
22.0,22.0,train,2.002077574547405E-5,0.1583753423847203,0.0026707404551847835
23.0,23.0,train,7.068111547392113E-5,1.5680833778289633,0.009396934848603267
24.0,24.0,train,7.068111547392113E-5,1.5680833778289633,0.009396934848603267
25.0,25.0,train,1.59997974959855E-6,0.004496638384713268,2.1369750528532627E-4
26.0,26.0,train,1.4388042995608153E-6,0.0036398652406014857,1.9217255667802746E-4
27.0,27.0,train,1.4702531608913573E-5,0.09073652017032291,0.0019619914308917075
28.0,28.0,train,4.9275467573060766E-5,0.8415756418347717,0.006560450077347291
29.0,29.0,train,1.4702531608913573E-5,0.09073652017032291,0.0019619914308917075
30.0,30.0,train,1.4388042995608153E-6,0.0036398652406014857,1.9217255667802746E-4
31.0,31.0,train,3.702088669369696E-6,0.014679597234066942,4.943912921281379E-4
32.0,32.0,train,3.332722629379883E-6,0.013172091498289627,4.450756960465707E-4
33.0,33.0,train,1.2685851461218182E-5,0.07200818265556844,0.0016931018494498185
34.0,34.0,train,5.22008069291558E-5,0.9179760913072392,0.006948568470527494
35.0,35.0,train,7.956700405146585E-6,0.03562969418055582,0.0010622668030894067
36.0,36.0,train,5.224798128292735E-6,0.020894281300074098,6.976688752441396E-4
37.0,37.0,train,1.4388042995608153E-6,0.0036398652406014857,1.9217255667802746E-4
38.0,38.0,train,9.290124702752945E-6,0.04386301506540481,0.0012401764428933149
39.0,39.0,train,4.9275467573060766E-5,0.8415756418347717,0.006560450077347291
40.0,40.0,train,6.221645529241795E-5,1.3173329616055185,0.008276243247153814
41.0,41.0,train,6.350439297433696E-6,0.025711723472812406,8.479123411219147E-4
42.0,42.0,train,8.978810576643632E-6,0.04194078438395897,0.0011986427740663386
43.0,43.0,train,6.24375174553825E-6,0.025052973777947088,8.33673330348228E-4
44.0,44.0,train,2.6921783241133817E-6,0.010557817012645581,3.5954819333627874E-4
45.0,45.0,train,2.699271843144522E-7,1.5069765506732882E-4,3.6055387648725734E-5
46.0,46.0,train,6.24375174553825E-6,0.025052973777947088,8.33673330348228E-4
47.0,47.0,train,2.8284402123675137E-6,0.011113947127142887,3.777429246586417E-4
48.0,48.0,train,6.24375174553825E-6,0.025052973777947088,8.33673330348228E-4
49.0,49.0,train,6.548763378135649E-5,1.4401978718987793,0.008709486145820788
50.0,50.0,train,5.944424053825614E-5,1.1835916707813017,0.007908936103743991
51.0,51.0,train,7.242171270913072E-5,1.606994220993942,0.009627226844883263
52.0,52.0,train,1.1249298166927455E-4,2.627785920226522,0.014914130294522931
53.0,53.0,train,1.45204217449395E-4,3.459645692482956,0.019209039064175593
54.0,54.0,train,6.197834895049009E-4,11.300472386170306,0.0794544171276036
55.0,55.0,train,9.114717701193786E-5,2.059176943673625,0.01210134038848687
56.0,56.0,train,6.197834895049009E-4,11.300472386170306,0.0794544171276036
57.0,57.0,train,5.457046551988712E-5,0.9873672852682321,0.007262850944556809
58.0,58.0,train,6.835108759905434E-5,1.5159958831604716,0.009088573636214958
59.0,59.0,train,1.0738615662807067E-4,2.507716445571854,0.014241920897640759
60.0,60.0,train,2.1623749088015178E-4,5.161533997522368,0.028471169780125427
61.0,61.0,train,1.7486366735114977E-4,4.0474064230148485,0.023087066765893893
62.0,62.0,train,1.8659952951583967E-4,4.3145161619018495,0.0246173149377118
63.0,63.0,train,7.242171270913072E-5,1.606994220993942,0.009627226844883263
64.0,64.0,train,6.197834895049009E-4,11.300472386170306,0.0794544171276036
65.0,65.0,train,1.1682408686528325E-4,2.7296170034069784,0.015483872738965565
66.0,66.0,train,1.0738615662807067E-4,2.507716445571854,0.014241920897640759
67.0,67.0,train,3.6770415169981736E-5,0.4715966660101276,0.004899635660202906
68.0,68.0,train,6.197834895049009E-4,11.300472386170306,0.0794544171276036
69.0,69.0,train,3.938795510621375E-5,0.5523363097649842,0.005247504600471631
70.0,70.0,train,1.2982985112930308E-4,3.0479310254160343,0.017192757976577377
71.0,71.0,train,3.6770415169981736E-5,0.4715966660101276,0.004899635660202906
72.0,72.0,train,1.1682408686528325E-4,2.7296170034069784,0.015483872738965565
73.0,73.0,train,3.938795510621375E-5,0.5523363097649842,0.005247504600471631
74.0,74.0,train,3.464432580086037E-4,7.74773723819338,0.04522237394199968
75.0,75.0,train,1.0738615662807067E-4,2.507716445571854,0.014241920897640759
76.0,76.0,train,7.242171270913072E-5,1.606994220993942,0.009627226844883263
77.0,77.0,train,1.7486366735114977E-4,4.0474064230148485,0.023087066765893893
78.0,78.0,train,1.3174248136535896E-4,3.095645134078205,0.017443816669249657
79.0,79.0,train,5.944424053825614E-5,1.1835916707813017,0.007908936103743991
80.0,80.0,train,1.0738615662807067E-4,2.507716445571854,0.014241920897640759
81.0,81.0,train,4.103343446117255E-4,8.571599068909412,0.05333613070560894
82.0,82.0,train,7.242171270913072E-5,1.606994220993942,0.009627226844883263
83.0,83.0,train,3.464432580086037E-4,7.74773723819338,0.04522237394199968
84.0,84.0,train,1.0738615662807067E-4,2.507716445571854,0.014241920897640759
85.0,85.0,train,5.457046551988712E-5,0.9873672852682321,0.007262850944556809
86.0,86.0,train,1.1249298166927455E-4,2.627785920226522,0.014914130294522931
87.0,87.0,train,6.368895693572329E-5,1.3823668351550564,0.008471288403059551
88.0,88.0,train,1.1682408686528325E-4,2.7296170034069784,0.015483872738965565
89.0,89.0,train,1.45204217449395E-4,3.459645692482956,0.019209039064175593
90.0,90.0,train,5.944424053825614E-5,1.1835916707813017,0.007908936103743991
91.0,91.0,train,1.45204217449395E-4,3.459645692482956,0.019209039064175593
92.0,92.0,train,8.336935060870392E-5,1.8634277621598594,0.011074441607923924
93.0,93.0,train,3.464432580086037E-4,7.74773723819338,0.04522237394199968
94.0,94.0,train,1.683543031283262E-4,3.9064701562212387,0.02223727086990568
95.0,95.0,train,3.6770415169981736E-5,0.4715966660101276,0.004899635660202906
